Model,Horizon_s,Error_m
CV,1.0,0.5922516936540174
CV,2.0,1.5271835792398223
CV,3.0,2.74574054298789
CV,4.0,4.23928716828001
CV,5.0,5.961271770036761
Ridge,1.0,0.507322552492169
Ridge,2.0,1.346674856505571
Ridge,3.0,2.439207870008031
Ridge,4.0,3.8108435543822785
Ridge,5.0,5.422455813453481
Ridge+nonlinear,1.0,0.5082023575195344
Ridge+nonlinear,2.0,1.346778727276276
Ridge+nonlinear,3.0,2.4367671144255816
Ridge+nonlinear,4.0,3.8046265168493996
Ridge+nonlinear,5.0,5.407067078515195
XGBoost,1.0,0.4972311892383332
XGBoost,2.0,1.3018156060634247
XGBoost,3.0,2.3518022529670097
XGBoost,4.0,3.669590521524054
XGBoost,5.0,5.218293258253959
XGBoost+nonlinear,1.0,0.49685218311271356
XGBoost+nonlinear,2.0,1.3009604962523313
XGBoost+nonlinear,3.0,2.350388539773358
XGBoost+nonlinear,4.0,3.6663299266724327
XGBoost+nonlinear,5.0,5.21416500865492
