Candidate,Alpha,Val_ADE,Val_FDE
delay,0.4,2.125241994857788,5.212931156158447
lyap,0.4,2.1252241134643555,5.2129597663879395
entropy,0.1,2.1256282329559326,5.214006423950195
graph,0.9500000000000001,2.122687578201294,5.202077865600586
lyap+graph,0.0,2.1256465911865234,5.21416711807251
entropy+graph,0.0,2.1256465911865234,5.21416711807251
full,0.0,2.1256465911865234,5.21416711807251
