Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.82,0.7554187883247485,0.899625,0.23378582202111614,0.34444444444444444,0.2785265049415993,21126,1524,885,465
CA,0.82,0.7554187883247485,0.899625,0.23378582202111614,0.34444444444444444,0.2785265049415993,21126,1524,885,465
Ridge,0.62,0.8079636006867795,0.8812916666666667,0.24164081351258188,0.5192592592592593,0.32980475182310054,20450,2200,649,701
Ridge-nonlinear-only,0.6799999999999999,0.7600849317308478,0.8927083333333333,0.22692822113241196,0.37703703703703706,0.283328694684108,20916,1734,841,509
Ridge+nonlinear,0.62,0.8094462922083231,0.8815833333333334,0.24293590627153688,0.5222222222222223,0.33160865475070556,20453,2197,645,705
XGBoost,0.7499999999999999,0.8649123047992805,0.92675,0.38778877887788776,0.5222222222222223,0.44507575757575757,21537,1113,645,705
XGBoost-nonlinear-only,0.7999999999999999,0.8403103262202599,0.932125,0.39177657098525986,0.37407407407407406,0.3827207275483137,21866,784,845,505
XGBoost+nonlinear,0.7599999999999999,0.8655464966069824,0.929125,0.3962152572442342,0.4962962962962963,0.4406445248273594,21629,1021,680,670
