R_ratio,ADE,FDE
0.1,2.6571028232574463,5.708670616149902
0.15,2.6099905967712402,5.612018585205078
0.2,2.511549472808838,5.20707893371582
0.25,2.569483757019043,5.625396728515625
0.3,2.510429859161377,5.481304168701172
