Feature,Importance
hist_dx_t-4,0.08801133185625076
hist_dx_t-11,0.0501195453107357
sq_ay_mean,0.04637911543250084
hist_dx_t-2,0.04116889834403992
ay_mean,0.03544100373983383
hist_dx_t-7,0.0316673144698143
vx_last,0.028697574511170387
hist_dx_t-12,0.028053641319274902
vy_mean,0.02803722582757473
hist_dx_t-3,0.02670355699956417
vy_std,0.026607461273670197
ay_last,0.02585436776280403
sq_vx_std,0.02506796084344387
lon_displacement,0.025030460208654404
hist_dx_t-5,0.023913366720080376
hist_dy_t-12,0.020167546346783638
hist_dx_t-6,0.019812485203146935
sq_ay_last,0.01931624673306942
vx_mean,0.018918393179774284
hist_dy_t-11,0.018350839614868164
hist_dx_t-10,0.01746065355837345
last_x,0.017353834584355354
hist_dy_t-2,0.01730930618941784
vy_last,0.016984710469841957
hist_dy_t-8,0.01658574678003788
last_y,0.01656334288418293
sq_graph_density,0.016044288873672485
hist_lane_last,0.015855474397540092
sq_ay_std,0.015732740983366966
ax_mean,0.015696071088314056
vx_std,0.015651021152734756
sq_graph_same_lane_density,0.015219707041978836
sq_vy_last,0.014196772128343582
hist_dx_t-8,0.013871872797608376
sq_lon_displacement,0.013659115880727768
sq_vy_std,0.013452092185616493
sq_lat_range,0.013145732693374157
hist_dy_t-3,0.012746450491249561
sq_graph_neighbor_count,0.012738129124045372
hist_dy_t-5,0.011475729756057262
sq_graph_mean_rel_speed,0.011255872435867786
sq_hist_lane_last,0.010377324186265469
sq_ax_std,0.01008207444101572
ax_last,0.008710787631571293
graph_mean_rel_speed,0.008542336523532867
sq_vy_mean,0.008100216276943684
hist_dy_t-10,0.007876710034906864
hist_dy_t-6,0.005993561819195747
hist_dy_t-4,0.0
sq_graph_min_headway,0.0
sq_hist_lane_change_count,0.0
hist_dx_t-1,0.0
ax_std,0.0
hist_dx_t-9,0.0
hist_dy_t-9,0.0
sq_ax_mean,0.0
sq_ax_last,0.0
ay_std,0.0
lat_range,0.0
hist_dy_t-1,0.0
sq_vx_mean,0.0
graph_neighbor_count,0.0
graph_same_lane_density,0.0
graph_min_headway,0.0
graph_density,0.0
hist_lane_change_count,0.0
hist_dy_t-7,0.0
