Feature_Set,ADE,FDE,Description
Kinematics,2.218712568283081,5.4673542976379395,基础运动学输入
+ delay embedding,2.2202274799346924,5.470858097076416,加入历史状态的延迟嵌入结构
+ Lyapunov proxy,2.2125837802886963,5.450056552886963,加入有限窗口扰动发散与 jerk 统计
+ RQA,2.213294744491577,5.450310707092285,加入递归率、确定性和对角线长度
+ entropy/DFA,2.2140655517578125,5.448975086212158,加入样本熵、多尺度样本熵和 DFA/Hurst 代理
+ graph interaction,2.2067699432373047,5.421573638916016,加入邻域图密度、车头间距和相对速度
