Feature,ADE_perm,ADE_orig,Importance
ay_last,2.640531301498413,2.4563987255096436,0.18413257598876953
ay_mean,2.530179262161255,2.4563987255096436,0.07378053665161133
last_y,2.5252182483673096,2.4563987255096436,0.06881952285766602
vx_mean,2.496168375015259,2.4563987255096436,0.039769649505615234
hist_dx_t-2,2.477921724319458,2.4563987255096436,0.021522998809814453
lon_displacement,2.4772791862487793,2.4563987255096436,0.020880460739135742
vx_last,2.476638078689575,2.4563987255096436,0.02023935317993164
hist_dx_t-12,2.4762344360351562,2.4563987255096436,0.019835710525512695
vy_mean,2.469769239425659,2.4563987255096436,0.013370513916015625
hist_dx_t-7,2.46498703956604,2.4563987255096436,0.008588314056396484
hist_dx_t-11,2.4647350311279297,2.4563987255096436,0.008336305618286133
hist_dx_t-3,2.4636168479919434,2.4563987255096436,0.007218122482299805
vy_last,2.462406873703003,2.4563987255096436,0.006008148193359375
hist_dx_t-4,2.460426092147827,2.4563987255096436,0.004027366638183594
sq_ay_last,2.45904541015625,2.4563987255096436,0.0026466846466064453
hist_lane_last,2.4586572647094727,2.4563987255096436,0.0022585391998291016
hist_dx_t-10,2.4586474895477295,2.4563987255096436,0.0022487640380859375
hist_dx_t-6,2.458625555038452,2.4563987255096436,0.0022268295288085938
sq_ay_std,2.4584734439849854,2.4563987255096436,0.002074718475341797
sq_vx_std,2.4582700729370117,2.4563987255096436,0.001871347427368164
sq_graph_density,2.458228826522827,2.4563987255096436,0.0018301010131835938
hist_dx_t-5,2.4575774669647217,2.4563987255096436,0.001178741455078125
last_x,2.456822156906128,2.4563987255096436,0.000423431396484375
vy_std,2.4563517570495605,2.4563987255096436,-4.696846008300781e-05
ax_mean,2.4563193321228027,2.4563987255096436,-7.939338684082031e-05
sq_ay_mean,2.45628023147583,2.4563987255096436,-0.00011849403381347656
hist_dy_t-12,2.4562277793884277,2.4563987255096436,-0.0001709461212158203
hist_dy_t-8,2.4561944007873535,2.4563987255096436,-0.00020432472229003906
hist_dy_t-2,2.455894708633423,2.4563987255096436,-0.0005040168762207031
hist_dy_t-11,2.4556965827941895,2.4563987255096436,-0.0007021427154541016
