NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,2.300733804702759,5.461907863616943,48
0,0.0,XGBoost+nonlinear,2.2834506034851074,5.414890289306641,48
2,0.07400000000000001,XGBoost,3.159381628036499,6.933706283569336,48
2,0.07400000000000001,XGBoost+nonlinear,3.131516933441162,6.895556926727295,48
5,0.185,XGBoost,3.901740074157715,8.221796989440918,48
5,0.185,XGBoost+nonlinear,3.8502044677734375,8.133377075195312,48
10,0.37,XGBoost,4.905724048614502,9.876108169555664,48
10,0.37,XGBoost+nonlinear,4.816567420959473,9.736658096313477,48
