Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.5299999999999999,0.7610769694437103,0.8380952380952381,0.2031686859273066,0.5691906005221932,0.29945054945054944,5062,855,165,218
Ridge,0.6499999999999999,0.8097992640579363,0.8747619047619047,0.23772609819121446,0.4804177545691906,0.3180639585133967,5327,590,199,184
Ridge+nonlinear,0.61,0.8198504022793993,0.8628571428571429,0.2348401323042999,0.556135770234987,0.33023255813953495,5223,694,170,213
XGBoost,0.83,0.8722607912502409,0.9455555555555556,0.578125,0.38642297650130547,0.46322378716744916,5809,108,235,148
XGBoost+nonlinear,0.7999999999999999,0.8737041696470452,0.9382539682539682,0.4920212765957447,0.4830287206266319,0.48748353096179187,5726,191,198,185
