NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,2.8616271018981934,6.251695156097412,48
0,0.0,XGBoost+nonlinear,2.852917432785034,6.234426021575928,48
2,0.07400000000000001,XGBoost,3.5057260990142822,7.467496395111084,48
2,0.07400000000000001,XGBoost+nonlinear,3.5226359367370605,7.496051788330078,48
5,0.185,XGBoost,4.273749828338623,8.849594116210938,48
5,0.185,XGBoost+nonlinear,4.2655110359191895,8.822199821472168,48
10,0.37,XGBoost,5.565085411071777,11.230138778686523,48
10,0.37,XGBoost+nonlinear,5.540812969207764,11.170870780944824,48
