Feature_Set,ADE,FDE,Description
Kinematics,2.162933349609375,5.348535060882568,基础运动学输入
+ delay embedding,2.165109157562256,5.354236602783203,加入历史状态的延迟嵌入结构
+ Lyapunov proxy,2.1578266620635986,5.333537578582764,加入有限窗口扰动发散与 jerk 统计
+ RQA,2.1618218421936035,5.339541435241699,加入递归率、确定性和对角线长度
+ entropy/DFA,2.1652421951293945,5.342406749725342,加入样本熵、多尺度样本熵和 DFA/Hurst 代理
+ graph interaction,2.1671080589294434,5.340624809265137,加入邻域图密度、车头间距和相对速度
