Feature,Importance
hist_dx_t-10,0.05394503474235535
hist_dx_t-12,0.03793494030833244
ay_mean,0.03564733639359474
delay_x_1,0.03561155125498772
hist_dx_t-6,0.033071134239435196
vx_last,0.029747186228632927
hist_dx_t-2,0.029009997844696045
lon_displacement,0.025659890845417976
ay_last,0.025613389909267426
vy_mean,0.025017140433192253
sq_dfa_y_alpha,0.02447093091905117
vx_std,0.023288553580641747
vy_std,0.021904099732637405
lyapunov_proxy_y,0.021638168022036552
hist_dx_t-7,0.020768966525793076
hist_dx_t-4,0.01936052367091179
hist_dx_t-8,0.01828274317085743
last_y,0.017821669578552246
sq_sampen_speed,0.017700446769595146
sampen_y,0.017551414668560028
vy_last,0.016633210703730583
hist_dy_t-2,0.016290955245494843
hist_dy_t-6,0.015908177942037582
jerk_y_std,0.015650711953639984
vx_mean,0.015189522877335548
hist_dy_t-11,0.015148426406085491
hist_dx_t-3,0.014776930212974548
hist_dy_t-3,0.014657830819487572
hist_dy_t-7,0.01443917490541935
last_x,0.014042549766600132
sq_acc_abs_p90,0.013780905865132809
sq_graph_density,0.012647148221731186
ax_std,0.01202286034822464
lat_range,0.011805606074631214
sq_mse_speed_s1,0.01178127620369196
sq_sampen_y,0.011598792858421803
delay_y_2,0.011513513512909412
hist_dx_t-11,0.011471870355308056
sq_dfa_speed_alpha,0.01114068366587162
hist_dy_t-4,0.01108070369809866
sq_graph_mean_rel_speed,0.010993949137628078
sq_graph_neighbor_count,0.010910145938396454
ay_std,0.010883438400924206
hist_lane_last,0.01072002574801445
hist_dy_t-8,0.010588135570287704
complexity_speed,0.010252823121845722
hist_dy_t-9,0.009581240825355053
sq_graph_same_lane_density,0.009545280598104
dfa_speed_alpha,0.009477466344833374
sq_mse_speed_s2,0.009384913370013237
delay_y_1,0.008733614347875118
graph_mean_rel_speed,0.008486291393637657
delay_x_2,0.008081959560513496
hist_dy_t-10,0.00798184797167778
graph_neighbor_count,0.00789895374327898
ax_mean,0.007813739590346813
ax_last,0.007811776362359524
acc_abs_p90,0.007470414042472839
graph_same_lane_density,0.007195694372057915
hist_dy_t-12,0.007085094228386879
hist_dy_t-5,0.006454132031649351
sq_mse_speed_s4,0.0051684295758605
sq_graph_min_headway,0.001854565110988915
sq_rqa_mean_diag_len,0.0
sq_rqa_determinism,0.0
sq_mse_speed_s3,0.0
sq_rqa_recurrence_rate,0.0
sq_mse_speed_mean,0.0
sq_mse_speed_slope,0.0
sq_mse_speed_s5,0.0
hist_dy_t-1,0.0
graph_min_headway,0.0
graph_density,0.0
hist_dx_t-5,0.0
hist_lane_change_count,0.0
delay_y_0,0.0
delay_x_0,0.0
hist_dx_t-9,0.0
rqa_recurrence_rate,0.0
rqa_determinism,0.0
rqa_mean_diag_len,0.0
sampen_speed,0.0
mse_speed_s1,0.0
mse_speed_s2,0.0
mse_speed_s3,0.0
hist_dx_t-1,0.0
mse_speed_s5,0.0
mse_speed_mean,0.0
mse_speed_slope,0.0
dfa_y_alpha,0.0
mse_speed_s4,0.0
