NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,2.4850335121154785,5.7143659591674805,48
0,0.0,XGBoost+nonlinear,2.480574131011963,5.696172714233398,48
2,0.07400000000000001,XGBoost,3.782019853591919,8.110237121582031,48
2,0.07400000000000001,XGBoost+nonlinear,3.765040397644043,8.082221031188965,48
5,0.185,XGBoost,4.269144535064697,8.907244682312012,48
5,0.185,XGBoost+nonlinear,4.27482795715332,8.93756103515625,48
10,0.37,XGBoost,5.21622896194458,10.545106887817383,48
10,0.37,XGBoost+nonlinear,5.2253899574279785,10.582796096801758,48
