Model,Horizon_s,Error_m
CV,1.0,0.5690763836129938
CV,2.0,1.4771539298429888
CV,3.0,2.666326765158738
CV,4.0,4.117873686091332
CV,5.0,5.79142495577244
Ridge,1.0,0.49286754340332983
Ridge,2.0,1.3234840802058492
Ridge,3.0,2.416122234956921
Ridge,4.0,3.7671136106787
Ridge,5.0,5.348535399322413
Ridge+nonlinear,1.0,0.49404492943549166
Ridge+nonlinear,2.0,1.322527753585991
Ridge+nonlinear,3.0,2.411241054414852
Ridge+nonlinear,4.0,3.7553835023920596
Ridge+nonlinear,5.0,5.32407442106669
XGBoost,1.0,0.4765337797245128
XGBoost,2.0,1.2738564897237654
XGBoost,3.0,2.32420087831875
XGBoost,4.0,3.6246399174312316
XGBoost,5.0,5.1468290222413104
XGBoost+nonlinear,1.0,0.4767442328859507
XGBoost+nonlinear,2.0,1.2742327404510843
XGBoost+nonlinear,3.0,2.324498400502688
XGBoost+nonlinear,4.0,3.624869525440708
XGBoost+nonlinear,5.0,5.146354944316019
