Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.7699999999999999,0.7535796326425789,0.8899047619047619,0.2124756335282651,0.38515901060070673,0.2738693467336683,9126,808,348,218
Ridge,0.6399999999999999,0.810668432858278,0.8804761904761905,0.21646090534979423,0.46466431095406363,0.2953396967995508,8982,952,303,263
Ridge+nonlinear,0.61,0.8225992967009826,0.8748571428571429,0.22172619047619047,0.5265017667844523,0.3120418848167539,8888,1046,268,298
XGBoost,0.8099999999999999,0.8793716977279729,0.9485714285714286,0.5282608695652173,0.4293286219081272,0.4736842105263158,9717,217,323,243
XGBoost+nonlinear,0.7899999999999999,0.8846387927103334,0.9422857142857143,0.4647887323943662,0.4664310954063604,0.4656084656084656,9630,304,302,264
