Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.5399999999999999,0.7505124081744482,0.8341111111111111,0.19499679281590762,0.5608856088560885,0.28938600666349357,7203,1255,238,304
Ridge,0.6399999999999999,0.8137565343494533,0.8722222222222222,0.23380035026269702,0.492619926199262,0.31710213776722096,7583,875,275,267
Ridge+nonlinear,0.6,0.8245057627923169,0.8591111111111112,0.2323008849557522,0.5811808118081181,0.3319283456269758,7417,1041,227,315
XGBoost,0.8099999999999999,0.8752234832587155,0.9383333333333334,0.48676171079429736,0.44095940959409596,0.46272991287512105,8206,252,303,239
XGBoost+nonlinear,0.8099999999999999,0.8701753138363733,0.9405555555555556,0.5075593952483801,0.43357933579335795,0.4676616915422886,8230,228,307,235
