NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,2.867980718612671,6.261054992675781,48
0,0.0,XGBoost+nonlinear,2.8544297218322754,6.22586727142334,48
2,0.07400000000000001,XGBoost,3.515146255493164,7.434046745300293,48
2,0.07400000000000001,XGBoost+nonlinear,3.4919185638427734,7.38117790222168,48
5,0.185,XGBoost,4.141744613647461,8.472271919250488,48
5,0.185,XGBoost+nonlinear,4.124906539916992,8.448393821716309,48
10,0.37,XGBoost,5.251237869262695,10.43606948852539,48
10,0.37,XGBoost+nonlinear,5.2474822998046875,10.45630168914795,48
