Feature_Set,ADE,FDE,Description
Kinematics,2.2252135276794434,5.471847057342529,基础运动学输入
+ delay embedding,2.221254587173462,5.463932991027832,加入历史状态的延迟嵌入结构
+ Lyapunov proxy,2.225184202194214,5.46911096572876,加入有限窗口扰动发散与 jerk 统计
+ RQA,2.2258477210998535,5.469820022583008,加入递归率、确定性和对角线长度
+ entropy/DFA,2.230473756790161,5.476361274719238,加入样本熵、多尺度样本熵和 DFA/Hurst 代理
+ graph interaction,2.226151943206787,5.460790634155273,加入邻域图密度、车头间距和相对速度
