fpr,tpr
0.0,0.0
0.0,0.0018450184501845018
0.0,0.0036900369003690036
0.0,0.005535055350553505
0.0,0.007380073800738007
0.0,0.00922509225092251
0.0,0.01107011070110701
0.0,0.012915129151291513
0.0,0.014760147601476014
0.0,0.016605166051660517
0.0,0.01845018450184502
0.0,0.02029520295202952
0.0,0.02214022140221402
0.0,0.023985239852398525
0.0,0.025830258302583026
0.0,0.027675276752767528
0.0,0.02952029520295203
0.0,0.03136531365313653
0.0,0.033210332103321034
0.0,0.03505535055350553
0.0,0.03690036900369004
0.0,0.03874538745387454
0.0,0.04059040590405904
0.0,0.042435424354243544
0.0,0.04428044280442804
0.0,0.046125461254612546
0.0,0.04797047970479705
0.0,0.04981549815498155
0.0,0.05166051660516605
0.0,0.05350553505535055
0.00011823126034523528,0.05350553505535055
0.00011823126034523528,0.055350553505535055
0.00023646252069047056,0.055350553505535055
0.00023646252069047056,0.05719557195571956
0.00023646252069047056,0.05904059040590406
0.00023646252069047056,0.06088560885608856
0.00023646252069047056,0.06273062730627306
0.00023646252069047056,0.06457564575645756
0.00035469378103570584,0.06457564575645756
0.00035469378103570584,0.06642066420664207
0.00035469378103570584,0.06826568265682657
0.00035469378103570584,0.07011070110701106
0.00035469378103570584,0.07195571955719557
0.00035469378103570584,0.07380073800738007
0.00035469378103570584,0.07564575645756458
0.00035469378103570584,0.07749077490774908
0.00035469378103570584,0.07933579335793357
0.00035469378103570584,0.08118081180811808
0.00035469378103570584,0.08302583025830258
0.00035469378103570584,0.08487084870848709
0.00035469378103570584,0.08671586715867159
0.00035469378103570584,0.08856088560885608
0.0004729250413809411,0.08856088560885608
0.0004729250413809411,0.09040590405904059
0.0004729250413809411,0.09225092250922509
0.0005911563017261764,0.09225092250922509
0.0005911563017261764,0.0940959409594096
0.0005911563017261764,0.0959409594095941
0.0005911563017261764,0.09778597785977859
0.0005911563017261764,0.0996309963099631
0.0007093875620714117,0.0996309963099631
0.000827618822416647,0.0996309963099631
0.000827618822416647,0.1014760147601476
0.000827618822416647,0.1033210332103321
0.000827618822416647,0.10516605166051661
0.000827618822416647,0.1070110701107011
0.000827618822416647,0.1088560885608856
0.000827618822416647,0.11070110701107011
0.0009458500827618822,0.11070110701107011
0.0009458500827618822,0.11254612546125461
0.0009458500827618822,0.11439114391143912
0.0010640813431071175,0.11439114391143912
0.0010640813431071175,0.11623616236162361
0.0010640813431071175,0.11808118081180811
0.0010640813431071175,0.11992619926199262
0.0010640813431071175,0.12177121771217712
0.0010640813431071175,0.12361623616236163
0.0010640813431071175,0.12546125461254612
0.0010640813431071175,0.12730627306273062
0.0010640813431071175,0.12915129151291513
0.0010640813431071175,0.13099630996309963
0.0010640813431071175,0.13284132841328414
0.0010640813431071175,0.13468634686346864
0.0010640813431071175,0.13653136531365315
0.0011823126034523528,0.13653136531365315
0.0011823126034523528,0.13837638376383765
0.0011823126034523528,0.14022140221402213
0.001300543863797588,0.14022140221402213
0.0014187751241428233,0.14022140221402213
0.0014187751241428233,0.14206642066420663
0.0015370063844880586,0.14206642066420663
0.0015370063844880586,0.14391143911439114
0.0015370063844880586,0.14575645756457564
0.0015370063844880586,0.14760147601476015
0.0015370063844880586,0.14944649446494465
0.001655237644833294,0.14944649446494465
0.001655237644833294,0.15129151291512916
0.001655237644833294,0.15313653136531366
0.001655237644833294,0.15498154981549817
0.001655237644833294,0.15682656826568267
0.001655237644833294,0.15867158671586715
0.0017734689051785292,0.15867158671586715
0.0017734689051785292,0.16051660516605165
0.0018917001655237645,0.16051660516605165
0.0018917001655237645,0.16236162361623616
0.0020099314258689997,0.16236162361623616
0.002128162686214235,0.16236162361623616
0.0022463939465594703,0.16236162361623616
0.0022463939465594703,0.16420664206642066
0.0023646252069047056,0.16420664206642066
0.002482856467249941,0.16420664206642066
0.002482856467249941,0.16605166051660517
0.002482856467249941,0.16789667896678967
0.002482856467249941,0.16974169741697417
