Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.49999999999999994,0.758603892406006,0.8373015873015873,0.20928116469517744,0.5958549222797928,0.30976430976430974,5045,869,156,230
Ridge,0.63,0.8255842376305631,0.8850793650793651,0.27100271002710025,0.5181347150259067,0.35587188612099635,5376,538,186,200
Ridge+nonlinear,0.6599999999999999,0.8284824277511341,0.8888888888888888,0.2697947214076246,0.47668393782383417,0.3445692883895131,5416,498,202,184
XGBoost,0.7499999999999999,0.8818470617714004,0.923968253968254,0.4130841121495327,0.572538860103627,0.4799131378935939,5600,314,165,221
XGBoost+nonlinear,0.7699999999999999,0.8819561381529031,0.9338095238095238,0.4646924829157175,0.5284974093264249,0.4945454545454545,5679,235,182,204
