Embedding_dim,ADE,FDE
2,2.4441566467285156,5.0662946701049805
3,2.471972942352295,5.138917922973633
4,2.4552056789398193,5.179202079772949
5,2.4547665119171143,5.179987907409668
6,2.561352491378784,5.292920112609863
7,2.5703024864196777,5.83028507232666
