NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,2.2297604084014893,5.4999542236328125,48
0,0.0,XGBoost+nonlinear,2.2278249263763428,5.4930267333984375,48
2,0.07400000000000001,XGBoost,3.1246585845947266,6.5974273681640625,48
2,0.07400000000000001,XGBoost+nonlinear,3.119260549545288,6.585620403289795,48
5,0.185,XGBoost,3.481045722961426,7.062442779541016,48
5,0.185,XGBoost+nonlinear,3.4773616790771484,7.05859899520874,48
10,0.37,XGBoost,4.64816951751709,9.133848190307617,48
10,0.37,XGBoost+nonlinear,4.643704414367676,9.128479957580566,48
