Feature,Importance
hist_dx_t-12,0.04892103746533394
hist_dx_t-6,0.04764022305607796
hist_dx_t-2,0.04025659337639809
vy_mean,0.035579562187194824
ay_mean,0.030186457559466362
hist_dx_t-11,0.027740757912397385
hist_dx_t-3,0.027371441945433617
ay_last,0.025226948782801628
lon_displacement,0.024005578830838203
vx_last,0.02386445738375187
hist_dx_t-7,0.023558709770441055
hist_dx_t-10,0.022797634825110435
lyapunov_proxy_y,0.022624563425779343
vx_std,0.019915523007512093
vy_std,0.01939462684094906
sq_dfa_speed_alpha,0.019379211589694023
delay_x_1,0.01859731413424015
jerk_y_std,0.017851801589131355
hist_dy_t-8,0.017704470083117485
last_y,0.016573762521147728
hist_dy_t-5,0.016194548457860947
vy_last,0.015917453914880753
hist_dy_t-7,0.015666520223021507
last_x,0.015011063776910305
complexity_speed,0.014974633231759071
vx_mean,0.0146712027490139
hist_dy_t-3,0.014486030675470829
dfa_speed_alpha,0.013818022795021534
ay_std,0.01381511241197586
sq_sampen_y,0.013645847328007221
hist_dx_t-9,0.013384685851633549
delay_y_1,0.013304591178894043
lat_range,0.013166178949177265
hist_dy_t-11,0.01304029393941164
ax_mean,0.012878873385488987
hist_dx_t-8,0.012838187627494335
sq_graph_neighbor_count,0.012781104072928429
mse_speed_s1,0.012679685838520527
sq_graph_mean_rel_speed,0.01247307751327753
hist_dy_t-6,0.012379095889627934
graph_mean_rel_speed,0.01212292443960905
delay_x_2,0.011756215244531631
hist_dx_t-4,0.011345289647579193
acc_abs_p90,0.011310962028801441
hist_dy_t-12,0.011282826773822308
delay_y_2,0.010824646800756454
sq_mse_speed_s1,0.010227027349174023
sq_acc_abs_p90,0.009979638271033764
sq_graph_same_lane_density,0.009970019571483135
ax_std,0.0097958417609334
hist_lane_last,0.009788934141397476
hist_dy_t-2,0.00967766996473074
hist_dy_t-4,0.009656291455030441
graph_same_lane_density,0.009261727333068848
sq_mse_speed_s2,0.009176049381494522
sq_graph_density,0.008435898460447788
ax_last,0.007838670164346695
sq_mse_speed_slope,0.005850681569427252
hist_dy_t-10,0.005763862747699022
hist_dx_t-5,0.005309560801833868
sq_mse_speed_mean,0.004308308474719524
sq_mse_speed_s5,0.0
sq_mse_speed_s4,0.0
sq_mse_speed_s3,0.0
sq_sampen_speed,0.0
sq_rqa_mean_diag_len,0.0
sq_rqa_determinism,0.0
sq_rqa_recurrence_rate,0.0
sq_graph_min_headway,0.0
sq_dfa_y_alpha,0.0
dfa_y_alpha,0.0
graph_neighbor_count,0.0
graph_min_headway,0.0
hist_lane_change_count,0.0
delay_y_0,0.0
delay_x_0,0.0
rqa_recurrence_rate,0.0
rqa_determinism,0.0
rqa_mean_diag_len,0.0
sampen_y,0.0
sampen_speed,0.0
hist_dy_t-1,0.0
mse_speed_s2,0.0
mse_speed_s3,0.0
mse_speed_s4,0.0
mse_speed_s5,0.0
mse_speed_mean,0.0
mse_speed_slope,0.0
hist_dy_t-9,0.0
graph_density,0.0
hist_dx_t-1,0.0
