Model,Threshold,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
CV,0.5499999999999999,0.7772380842785326,0.8436507936507937,0.19245647969052224,0.5702005730659025,0.2877801879971077,5116,835,150,199
Ridge,0.5499999999999999,0.7993951559512522,0.8579365079365079,0.2150313152400835,0.5902578796561605,0.31522570772762054,5199,752,143,206
Ridge+nonlinear,0.6399999999999999,0.8010408787331498,0.8853968253968254,0.23916083916083916,0.4899713467048711,0.3214285714285714,5407,544,178,171
XGBoost,0.82,0.8594216666289503,0.9441269841269841,0.4945054945054945,0.3868194842406877,0.4340836012861736,5813,138,214,135
XGBoost+nonlinear,0.82,0.8600451923757486,0.9436507936507936,0.4888888888888889,0.37822349570200575,0.4264943457189015,5813,138,217,132
