fpr,tpr
0.0,0.0
0.0,0.0028653295128939827
0.0,0.0057306590257879654
0.0,0.008595988538681949
0.0,0.011461318051575931
0.0,0.014326647564469915
0.0,0.017191977077363897
0.0,0.02005730659025788
0.0,0.022922636103151862
0.0,0.025787965616045846
0.0,0.02865329512893983
0.0,0.03151862464183381
0.0,0.034383954154727794
0.0,0.03724928366762178
0.0,0.04011461318051576
0.0,0.04297994269340974
0.0,0.045845272206303724
0.0,0.04871060171919771
0.0,0.05157593123209169
0.0,0.054441260744985676
0.0,0.05730659025787966
0.0,0.06017191977077364
0.0,0.06303724928366762
0.0,0.0659025787965616
0.0,0.06876790830945559
0.0,0.07163323782234957
0.0,0.07449856733524356
0.0,0.07736389684813753
0.0,0.08022922636103152
0.0,0.0830945558739255
0.0,0.08595988538681948
0.0,0.08882521489971347
0.0,0.09169054441260745
0.0,0.09455587392550144
0.0,0.09742120343839542
0.0,0.10028653295128939
0.0,0.10315186246418338
0.0,0.10601719197707736
0.0,0.10888252148997135
0.0,0.11174785100286533
0.0,0.11461318051575932
0.00016803898504453034,0.11461318051575932
0.00016803898504453034,0.1174785100286533
0.0003360779700890607,0.1174785100286533
0.0003360779700890607,0.12034383954154727
0.0003360779700890607,0.12320916905444126
0.000504116955133591,0.12320916905444126
0.000504116955133591,0.12607449856733524
0.000504116955133591,0.12893982808022922
0.000504116955133591,0.1318051575931232
0.000504116955133591,0.1346704871060172
0.000504116955133591,0.13753581661891118
0.000504116955133591,0.14040114613180515
0.0006721559401781214,0.14040114613180515
0.0008401949252226517,0.14040114613180515
0.001008233910267182,0.14040114613180515
0.0011762728953117123,0.14040114613180515
0.0011762728953117123,0.14326647564469913
0.0013443118803562427,0.14326647564469913
0.0013443118803562427,0.14613180515759314
0.0013443118803562427,0.1489971346704871
0.0013443118803562427,0.1518624641833811
0.0013443118803562427,0.15472779369627507
0.001512350865400773,0.15472779369627507
0.001512350865400773,0.15759312320916904
0.001512350865400773,0.16045845272206305
0.001512350865400773,0.16332378223495703
0.001512350865400773,0.166189111747851
0.0016803898504453034,0.166189111747851
0.0018484288354898336,0.166189111747851
0.0018484288354898336,0.16905444126074498
0.0018484288354898336,0.17191977077363896
0.0018484288354898336,0.17478510028653296
0.0018484288354898336,0.17765042979942694
0.002016467820534364,0.17765042979942694
0.002016467820534364,0.18051575931232092
0.002016467820534364,0.1833810888252149
0.002016467820534364,0.18624641833810887
0.002016467820534364,0.18911174785100288
0.002016467820534364,0.19197707736389685
0.0021845068055788945,0.19197707736389685
0.0021845068055788945,0.19484240687679083
0.0021845068055788945,0.1977077363896848
0.0021845068055788945,0.20057306590257878
0.0023525457906234245,0.20057306590257878
