Embedding_dim,ADE,FDE
2,3.46155047416687,8.206226348876953
3,3.2760095596313477,7.845942497253418
4,3.208453893661499,7.768988609313965
5,3.140389919281006,7.6417365074157715
6,3.0761091709136963,7.4365739822387695
7,3.2437796592712402,7.855925559997559
