Model,Horizon_s,Error_m
CV,1.0,0.5935530509155825
CV,2.0,1.5361733459378228
CV,3.0,2.7685199247156205
CV,4.0,4.244712695894783
CV,5.0,5.953626908293892
Ridge,1.0,0.5334965759887087
Ridge,2.0,1.4004286123329557
Ridge,3.0,2.5212353285481295
Ridge,4.0,3.8965989391981948
Ridge,5.0,5.507497837883921
Ridge+nonlinear,1.0,0.5275291129070935
Ridge+nonlinear,2.0,1.3911808617916277
Ridge+nonlinear,3.0,2.5064150015468667
Ridge+nonlinear,4.0,3.8726896013732564
Ridge+nonlinear,5.0,5.470014125616782
XGBoost,1.0,0.5026249061123386
XGBoost,2.0,1.3240840213305642
XGBoost,3.0,2.39730060585966
XGBoost,4.0,3.7132827505210795
XGBoost,5.0,5.257301707740299
XGBoost+nonlinear,1.0,0.5026249061123386
XGBoost+nonlinear,2.0,1.3240840213305642
XGBoost+nonlinear,3.0,2.39730060585966
XGBoost+nonlinear,4.0,3.7132827505210795
XGBoost+nonlinear,5.0,5.257301707740299
