NoisePercent,Noise_sigma_m,Model,ADE,FDE,N
0,0.0,XGBoost,3.159501552581787,6.846958160400391,48
0,0.0,XGBoost+nonlinear,3.159501552581787,6.846958160400391,48
2,0.07400000000000001,XGBoost,3.705817461013794,7.813265800476074,48
2,0.07400000000000001,XGBoost+nonlinear,3.705817461013794,7.813265800476074,48
5,0.185,XGBoost,4.116796493530273,8.407724380493164,48
5,0.185,XGBoost+nonlinear,4.116796493530273,8.407724380493164,48
10,0.37,XGBoost,5.103523254394531,9.791488647460938,48
10,0.37,XGBoost+nonlinear,5.103523254394531,9.791488647460938,48
