Behavior,Scale,SampEn
Straight,1,0.8285641827852532
Straight,2,0.8408570876566843
Straight,3,0.5049098153929994
Straight,4,0.38764935310279175
Straight,5,0.313190742123842
Following,1,0.25421269321963363
Following,2,0.4878265997583213
Following,3,0.6267386906587269
Following,4,0.5712337734314602
Following,5,0.48066133474836475
Lane-change,1,0.34658765692857213
Lane-change,2,0.6163009086027124
Lane-change,3,0.591012453040883
Lane-change,4,0.376770389260863
Lane-change,5,0.2921902011342119
Hard-brake,1,0.5867883953213239
Hard-brake,2,0.6406094747401772
Hard-brake,3,0.44884187783501256
Hard-brake,4,0.2668968914913832
Hard-brake,5,0.2031494529604539
